DCCA_CODE,district,constituency,post_secondary_education_percent,median_income,population
A01,Central and Western,Chung Wan,44.3724502,33630,13850
A02,Central and Western,Mid Levels East,55.15903345,60000,18828
A03,Central and Western,Castle Road,54.68640941,90000,18859
A04,Central and Western,Peak,55.29289839,132250,20324
A05,Central and Western,University,51.40860692,83000,19010
A06,Central and Western,Kennedy Town and Mount Davis,37.94466403,33750,16920
A07,Central and Western,Kwun Lung,28.54288844,24210,15188
A08,Central and Western,Sai Wan,34.42860095,30000,14789
A09,Central and Western,Belcher,42.96250768,41650,21195
A10,Central and Western,Shek Tong Tsui,26.82661475,20000,17176
A11,Central and Western,Sai Ying Pun,27.54196144,24440,14528
A12,Central and Western,Sheung Wan,39.64937388,26000,17550
A13,Central and Western,Tung Wah,46.14669596,41250,13051
A14,Central and Western,Centre Street,40.59266559,28750,16227
A15,Central and Western,Water Street,38.66763694,29700,15142
C01,Eastern,Tai Koo Shing West,47.82063172,63200,18269
C02,Eastern,Tai Koo Shing East,47.58378586,52000,19530
C03,Eastern,Lei King Wan,37.15806866,25200,20803
C04,Eastern,Aldrich Bay,22.98745201,18250,19119
C05,Eastern,Shaukeiwan,26.57963446,25000,13250
C06,Eastern,A Kung Ngam,21.13667118,25000,19188
C07,Eastern,Heng Fa Chuen,43.88304828,52160,19267
C08,Eastern,Tsui Wan,19.43385514,22850,13031
C09,Eastern,Yan Lam,42.30513394,50300,16981
C10,Eastern,Siu Sai Wan,18.53898097,22000,13176
C11,Eastern,King Yee,24.06717681,30500,15934
C12,Eastern,Wan Tsui,17.89054726,19000,14542
C13,Eastern,Fei Tsui,14.10882806,17500,15427
C14,Eastern,Mount Parker,29.2340965,21700,14048
C15,Eastern,Braemar Hill,51.05928534,92490,16991
C16,Eastern,Fortress Hill,43.85514162,47740,15917
C17,Eastern,City Garden,39.74805527,42160,15679
C18,Eastern,Provident,31.39716703,26200,21058
C19,Eastern,Fort Street,37.15570892,28740,15583
C20,Eastern,Kam Ping,30.89066918,24490,16793
C21,Eastern,Tanner,41.36745082,36500,15345
C22,Eastern,Healthy Village,31.97992027,25000,14480
C23,Eastern,Quarry Bay,33.29799318,26250,13764
C24,Eastern,Nam Fung,40.5068579,38000,14081
C25,Eastern,Kornhill,48.41032961,60000,14724
C26,Eastern,Kornhill Garden,42.74874732,42400,14958
C27,Eastern,Hing Tung,24.72802437,26190,18899
C28,Eastern,Sai Wan Ho,30.66812162,30000,19482
C29,Eastern,Lower Yiu Tung,25.42461186,25000,16389
C30,Eastern,Upper Yiu Tung,21.36927755,19900,12732
C31,Eastern,Hing Man,17.34337556,22490,14432
C32,Eastern,Lok Hong,34.25902117,37240,12391
C33,Eastern,Tsui Tak,33.18001091,34200,13349
C34,Eastern,Yue Wan,18.94643948,20000,14804
C35,Eastern,Kai Hiu,21.35728543,26040,13343
T01,Islands,Lantau,24.17226546,19790,19207
T02,Islands,Yat Tung Estate North,15.69027253,20000,18959
T03,Islands,Yat Tung Estate South,19.81939994,21130,20124
T04,Islands,Tung Chung North,50.92614866,45000,22450
T05,Islands,Tung Chung South,32.11859785,30000,18489
T06,Islands,Discovery Bay,54.50150461,60000,13390
T07,Islands,Peng Chau and Hei Ling Chau,27.00786188,15940,7376
T08,Islands,Lamma and Po Toi,35.08480213,23800,6183
T09,Islands,Cheung Chau South,20.08004769,20250,11108
T10,Islands,Cheung Chau North,15.09823076,19600,11082
G01,Kowloon City,Ma Tau Wai,27.23731522,24450,19205
G02,Kowloon City,Ma Hang Chung,30.48357976,33000,20012
G03,Kowloon City,Ma Tau Kok,22.79682355,22200,14990
G04,Kowloon City,Lok Man,26.79302311,21500,16110
G05,Kowloon City,Sheung Lok,18.75775586,18040,16095
G06,Kowloon City,Ho Man Tin,46.11237919,56290,20651
G07,Kowloon City,Kadoorie,42.26152197,41260,18756
G08,Kowloon City,Prince,45.57505601,64210,16841
G09,Kowloon City,Kowloon Tong,48.85528547,89300,19293
G10,Kowloon City,Lung Shing,28.56955724,22230,15460
G11,Kowloon City,Sung Wong Toi,27.01901038,22800,20487
G12,Kowloon City,Kai Tak North,14.63973731,14040,16562
G13,Kowloon City,Kai Tak South,14.74552404,13730,14599
G14,Kowloon City,Hoi Sham,23.49220547,21500,15823
G15,Kowloon City,To Kwa Wan North,18.6794978,18000,13368
G16,Kowloon City,To Kwa Wan South,28.39522815,19750,15454
G17,Kowloon City,Hok Yuen Laguna Verde,43.08876347,48000,18930
G18,Kowloon City,Whampoa East,44.48260331,56160,18187
G19,Kowloon City,Whampoa West,45.95422599,47000,20624
G20,Kowloon City,Hung Hom Bay,38.67321608,31000,19607
G21,Kowloon City,Hung Hom,30.34070952,19080,14578
G22,Kowloon City,Ka Wai,21.46246875,18670,19301
G23,Kowloon City,Oi Man,27.32490605,25890,14736
